"method","auroc","delta_w","ari","k","exactC","seed","scenario","tmfg_avail","oracle_na","rho_C","rho_D","gini_C","gini_D","obar_C","obar_D","rt"
"over",1,0.0202825880920117,1,3,TRUE,900000008,"primary",0.9,0,0.184025837481724,0.190627348466892,0.149974006310317,0.154210181260715,0.109511220561132,-0.0252433383503107,1.099
"raw",0.416666666666667,-0.00660151098516726,1,3,TRUE,900000008,"primary",0.9,0,0.184025837481724,0.190627348466892,0.149974006310317,0.154210181260715,0.109511220561132,-0.0252433383503107,1.099
"cw",0.883333333333333,0.00712703701527858,1,3,TRUE,900000009,"primary",0.8,0,0.142156460998096,0.196823714714226,0.185596575701348,0.14522169285084,0.0848362901257728,0.0154289957498829,1.085
"gini",0.35,-0.0558210657886222,1,3,TRUE,900000009,"primary",0.8,0,0.142156460998096,0.196823714714226,0.185596575701348,0.14522169285084,0.0848362901257728,0.0154289957498829,1.085
"oracle",0,-0.438797075707962,NA,NA,NA,900000009,"primary",0.8,0,0.142156460998096,0.196823714714226,0.185596575701348,0.14522169285084,0.0848362901257728,0.0154289957498829,1.085
"over",0.9,0.00893441193742422,1,3,TRUE,900000009,"primary",0.8,0,0.142156460998096,0.196823714714226,0.185596575701348,0.14522169285084,0.0848362901257728,0.0154289957498829,1.085
"raw",0.366666666666667,-0.05466725371613,1,3,TRUE,900000009,"primary",0.8,0,0.142156460998096,0.196823714714226,0.185596575701348,0.14522169285084,0.0848362901257728,0.0154289957498829,1.085
"cw",0.983333333333333,0.00987876196603218,1,3,TRUE,900000010,"primary",0.9,0,0.16006223111698,0.232275317391133,0.167500509126751,0.156239536064735,0.09579548898021,0.000862477910211449,0.636
"gini",0.216666666666667,-0.0613484154864765,1,3,TRUE,900000010,"primary",0.9,0,0.16006223111698,0.232275317391133,0.167500509126751,0.156239536064735,0.09579548898021,0.000862477910211449,0.636
"oracle",0,-0.384381158989265,NA,NA,NA,900000010,"primary",0.9,0,0.16006223111698,0.232275317391133,0.167500509126751,0.156239536064735,0.09579548898021,0.000862477910211449,0.636
"over",0.966666666666667,0.011932284119919,1,3,TRUE,900000010,"primary",0.9,0,0.16006223111698,0.232275317391133,0.167500509126751,0.156239536064735,0.09579548898021,0.000862477910211449,0.636
"raw",0.283333333333333,-0.0722130862741526,1,3,TRUE,900000010,"primary",0.9,0,0.16006223111698,0.232275317391133,0.167500509126751,0.156239536064735,0.09579548898021,0.000862477910211449,0.636
"cw",1,0.0151569300765405,1,3,TRUE,900000011,"primary",0.9,0,0.175961431827315,0.206960985236679,0.163694697628563,0.163827945466282,0.105725411342727,0.000779049479758002,1.093
"gini",0.333333333333333,-0.0287514804576739,1,3,TRUE,900000011,"primary",0.9,0,0.175961431827315,0.206960985236679,0.163694697628563,0.163827945466282,0.105725411342727,0.000779049479758002,1.093
"oracle",0,-0.390636648623998,NA,NA,NA,900000011,"primary",0.9,0,0.175961431827315,0.206960985236679,0.163694697628563,0.163827945466282,0.105725411342727,0.000779049479758002,1.093
"over",1,0.0182475492338112,1,3,TRUE,900000011,"primary",0.9,0,0.175961431827315,0.206960985236679,0.163694697628563,0.163827945466282,0.105725411342727,0.000779049479758002,1.093
"raw",0.333333333333333,-0.0309995534093636,1,3,TRUE,900000011,"primary",0.9,0,0.175961431827315,0.206960985236679,0.163694697628563,0.163827945466282,0.105725411342727,0.000779049479758002,1.093
"cw",1,0.013792615414132,1,3,TRUE,900000012,"primary",0.9,0,0.165373174898711,0.163973514238095,0.173007308058524,0.151911357856038,0.102404195300919,-0.0254676367204432,1.081
"gini",0.516666666666667,-0.00636701983122961,0.792079207920792,3,TRUE,900000012,"primary",0.9,0,0.165373174898711,0.163973514238095,0.173007308058524,0.151911357856038,0.102404195300919,-0.0254676367204432,1.081
"oracle",0,-0.405128218202753,NA,NA,NA,900000012,"primary",0.9,0,0.165373174898711,0.163973514238095,0.173007308058524,0.151911357856038,0.102404195300919,-0.0254676367204432,1.081
"over",1,0.016712292908266,1,3,TRUE,900000012,"primary",0.9,0,0.165373174898711,0.163973514238095,0.173007308058524,0.151911357856038,0.102404195300919,-0.0254676367204432,1.081
"raw",0.533333333333333,0.00139966066061573,0.792079207920792,3,TRUE,900000012,"primary",0.9,0,0.165373174898711,0.163973514238095,0.173007308058524,0.151911357856038,0.102404195300919,-0.0254676367204432,1.081
"cw",1,0.0211400147095505,1,3,TRUE,900000013,"primary",0.9,0,0.209251355765864,0.196990170822415,0.170272694313498,0.183073953215979,0.128081667168247,0.00101894840342203,1.077
"gini",0.516666666666667,0.0125398257793706,1,3,TRUE,900000013,"primary",0.9,0,0.209251355765864,0.196990170822415,0.170272694313498,0.183073953215979,0.128081667168247,0.00101894840342203,1.077
"oracle",0,-0.315357547127068,NA,NA,NA,900000013,"primary",0.9,0,0.209251355765864,0.196990170822415,0.170272694313498,0.183073953215979,0.128081667168247,0.00101894840342203,1.077
"over",1,0.0255204393895563,1,3,TRUE,900000013,"primary",0.9,0,0.209251355765864,0.196990170822415,0.170272694313498,0.183073953215979,0.128081667168247,0.00101894840342203,1.077
"raw",0.55,0.0122611849434495,1,3,TRUE,900000013,"primary",0.9,0,0.209251355765864,0.196990170822415,0.170272694313498,0.183073953215979,0.128081667168247,0.00101894840342203,1.077
