"i","j","rho","gini","o_bar","raw","gini","over","cw","oracle","seed"
11,15,0.136457140070938,0.139170281946095,0.102389511337795,0.136457140070938,0.117466361413708,0.0139717798904164,0.0120273233437783,0.471279639332289,900000007
12,13,0.142963546387465,0.197345733051041,0.117181647568636,0.142963546387465,0.114750300526054,0.0167527039079382,0.0134466292746391,0.552292862279865,900000007
12,14,0.189048144239681,0.204391497654111,0.104913512102583,0.189048144239681,0.150408310909802,0.0198337047686608,0.0157798641469647,0.559627406431284,900000007
12,15,0.193726694205187,0.179806632742187,0.100415984763439,0.193726694205187,0.158893349647877,0.0194532567735795,0.015955432177253,0.46064167620518,900000007
13,14,0.135422150360926,0.19574714085101,0.120326796159841,0.135422150360926,0.10891365161988,0.0162949134820065,0.0131052307574891,0.574840310554284,900000007
13,15,0.184296233437238,0.155534358244975,0.108785006067604,0.184296233437238,0.155631837042611,0.0200486668727065,0.0169304103369928,0.577339188087186,900000007
14,15,0.223406051456252,0.227243382441011,0.123228322351439,0.223406051456252,0.172638504665543,0.0275299529241132,0.0212739533031959,0.535528870534141,900000007
1,6,0.221263637028074,0.172650153441473,0.0132568988125205,0.221263637028074,0.183062436144159,0.00293326964697144,0.00242684019233661,0.921182690505137,900000007
2,7,0.188920742119149,0.163803600325699,0.00672452436728398,0.188920742119149,0.157974844383829,0.00127040213386559,0.00106230569047696,0.69890435012638,900000007
3,8,0.208038624603753,0.126363896205954,-0.0164892345188133,0.208038624603753,0.181750053437495,0,0,0.954176089060899,900000007
4,9,0.207161801160465,0.063744104992999,-0.0215456745571798,0.207161801160465,0.193956457556754,0,0,0.957427527495584,900000007
5,10,0.116815277436656,0.200541564275297,-0.00209339535210324,0.116815277436656,0.0933889589682563,0,0,0.9699633879325,900000007
6,11,0.230772297334467,0.185130823123153,0.0160616686456737,0.230772297334467,0.188049231974916,0.00370658817238709,0.00302038445305453,0.849437419699414,900000007
1,2,0.296074876999883,0.133188911205304,0.121319626458796,0.296074876999883,0.256640986497024,0.0359196934814596,0.0311355886158358,0.296074876999849,900000008
1,3,0.221021959643363,0.0991376769482688,0.133878933153574,0.221021959643363,0.199110356009766,0.0295901841605658,0.0266566820424158,0.221021959643157,900000008
1,4,0.309723161248592,0.0720814272644099,0.109495659835976,0.309723161248592,0.287397873728948,0.0339133419073989,0.0314688198194076,0.309723161248677,900000008
1,5,0.226722035608572,0.166169344857972,0.116027990326268,0.226722035608572,0.18904778348663,0.0263061021543431,0.0219348343935891,0.226722035608581,900000008
2,3,0.334369398095668,0.133227920931082,0.116235837026789,0.334369398095668,0.289822058364405,0.0388657068637935,0.0336877095428134,0.334369398095656,900000008
2,4,0.214623615700789,0.151250158522464,0.116368532644775,0.214623615700789,0.18216175980338,0.0249754352300169,0.0211978966923093,0.21462361570149,900000008
2,5,0.282784323615771,0.22440956651719,0.137189830346417,0.282784323615771,0.219324816135299,0.0387951333814738,0.0300891343163607,0.282784323615819,900000008
3,4,0.219306122358352,0.0825713780358346,0.114306256602536,0.219306122358352,0.201197713623527,0.025068061896801,0.0229981574812946,0.219306122357624,900000008
3,5,0.345924702198462,0.16265072851423,0.0992279536505561,0.345924702198462,0.289659797374814,0.0343254003163314,0.0287423489483375,0.345924702198446,900000008
4,5,0.220273423072774,0.181464396541686,0.118178116073641,0.220273423072774,0.180301639280702,0.0260314981598326,0.0213077080551826,0.22027342307283,900000008
6,7,0.302663441090935,0.177403941228592,0.107607349209902,0.302663441090935,0.248969753775595,0.0325688105985427,0.0267909752372337,0.302663441091076,900000008
6,8,0.361769447588214,0.281281783019466,0.103857939475423,0.361769447588214,0.260010292328634,0.037572629391674,0.0270041332036544,0.361769447588101,900000008
6,9,0.233141672104813,0.173503879879922,0.104736526714426,0.233141672104813,0.192690687432935,0.0244184489686517,0.0201817533319407,0.233141672104938,900000008
6,10,0.202776918732564,0.168953052238286,0.0928222115698149,0.202776918732564,0.168517139389222,0.0188222020520692,0.0156421335655264,0.202776918732421,900000008
7,8,0.277883542510469,0.18345587485988,0.124871294800458,0.277883542510469,0.226904174110048,0.0346996777570205,0.0283338180167504,0.277883542510536,900000008
7,9,0.239788568573742,0.0774826260475172,0.11433194799126,0.239788568573742,0.221209120584473,0.0274154941510716,0.0252912696698563,0.239788568573848,900000008
7,10,0.245009369236552,0.0588491868087231,0.106227233718472,0.245009369236552,0.230590767096463,0.0260266675291065,0.0244950193096776,0.245009369236437,900000008
