"method","auroc","delta_w","ari","k","exactC","seed","scenario","tmfg_avail","oracle_na","rho_C","rho_D","gini_C","gini_D","obar_C","obar_D","rt"
"gini",0.25,-0.0392918492253781,1,3,TRUE,202608250052,"primary",0.9,0,0.171306291600077,0.216061156689819,0.163608293102782,0.152022422228018,0.105287479400214,0.0166050068608816,0.805
"oracle",0,-0.370983834855147,NA,NA,NA,202608250052,"primary",0.9,0,0.171306291600077,0.216061156689819,0.163608293102782,0.152022422228018,0.105287479400214,0.0166050068608816,0.805
"over",0.95,0.0138602703402003,1,3,TRUE,202608250052,"primary",0.9,0,0.171306291600077,0.216061156689819,0.163608293102782,0.152022422228018,0.105287479400214,0.0166050068608816,0.805
"raw",0.25,-0.0447548650897424,1,3,TRUE,202608250052,"primary",0.9,0,0.171306291600077,0.216061156689819,0.163608293102782,0.152022422228018,0.105287479400214,0.0166050068608816,0.805
"cw",1,0.011359608777583,1,3,TRUE,202608250053,"primary",0.9,0,0.158343247296784,0.14280250757163,0.170308207938922,0.158376545153627,0.0981581413853303,0.0163336737244534,0.679
"gini",0.583333333333333,0.0108716676771345,1,3,TRUE,202608250053,"primary",0.9,0,0.158343247296784,0.14280250757163,0.170308207938922,0.158376545153627,0.0981581413853303,0.0163336737244534,0.679
"oracle",0,-0.301237460889049,NA,NA,NA,202608250053,"primary",0.9,0,0.158343247296784,0.14280250757163,0.170308207938922,0.158376545153627,0.0981581413853303,0.0163336737244534,0.679
"over",1,0.013876429112077,1,3,TRUE,202608250053,"primary",0.9,0,0.158343247296784,0.14280250757163,0.170308207938922,0.158376545153627,0.0981581413853303,0.0163336737244534,0.679
"raw",0.6,0.0155407397251539,1,3,TRUE,202608250053,"primary",0.9,0,0.158343247296784,0.14280250757163,0.170308207938922,0.158376545153627,0.0981581413853303,0.0163336737244534,0.679
"cw",1,0.0104679313840139,1,3,TRUE,202608250054,"primary",0.9,0,0.150829827278541,0.185014223339107,0.200395677684492,0.155669913588976,0.0868740990527033,-0.0272992564635749,0.396
"gini",0.15,-0.034415351513487,1,3,TRUE,202608250054,"primary",0.9,0,0.150829827278541,0.185014223339107,0.200395677684492,0.155669913588976,0.0868740990527033,-0.0272992564635749,0.396
"oracle",0,-0.395644162475133,NA,NA,NA,202608250054,"primary",0.9,0,0.150829827278541,0.185014223339107,0.200395677684492,0.155669913588976,0.0868740990527033,-0.0272992564635749,0.396
"over",1,0.0130581165361442,1,3,TRUE,202608250054,"primary",0.9,0,0.150829827278541,0.185014223339107,0.200395677684492,0.155669913588976,0.0868740990527033,-0.0272992564635749,0.396
"raw",0.25,-0.0341843960605664,1,3,TRUE,202608250054,"primary",0.9,0,0.150829827278541,0.185014223339107,0.200395677684492,0.155669913588976,0.0868740990527033,-0.0272992564635749,0.396
"cw",0.966666666666667,0.0132866958919211,1,3,TRUE,202608250055,"primary",0.9,0,0.17535621726916,0.189201776844422,0.176571854647496,0.16215895764705,0.107810698479658,0.0128632975193527,0.51
"gini",0.416666666666667,-0.0173125444871285,1,3,TRUE,202608250055,"primary",0.9,0,0.17535621726916,0.189201776844422,0.176571854647496,0.16215895764705,0.107810698479658,0.0128632975193527,0.51
"oracle",0,-0.436643745559789,NA,NA,NA,202608250055,"primary",0.9,0,0.17535621726916,0.189201776844422,0.176571854647496,0.16215895764705,0.107810698479658,0.0128632975193527,0.51
"over",0.966666666666667,0.0162963105771408,1,3,TRUE,202608250055,"primary",0.9,0,0.17535621726916,0.189201776844422,0.176571854647496,0.16215895764705,0.107810698479658,0.0128632975193527,0.51
"raw",0.416666666666667,-0.0138455595752619,1,3,TRUE,202608250055,"primary",0.9,0,0.17535621726916,0.189201776844422,0.176571854647496,0.16215895764705,0.107810698479658,0.0128632975193527,0.51
"cw",1,0.014652050768901,1,3,TRUE,202608250056,"primary",0.9,0,0.186523783265886,0.160326416245654,0.185253035953014,0.180582022642207,0.112104699312462,0.00984982873587462,0.788
"gini",0.583333333333333,0.0181954850436273,1,3,TRUE,202608250056,"primary",0.9,0,0.186523783265886,0.160326416245654,0.185253035953014,0.180582022642207,0.112104699312462,0.00984982873587462,0.788
"oracle",0,-0.362175024394584,NA,NA,NA,202608250056,"primary",0.9,0,0.186523783265886,0.160326416245654,0.185253035953014,0.180582022642207,0.112104699312462,0.00984982873587462,0.788
