"method","auroc","delta_w","ari","k","exactC","seed","scenario","tmfg_avail","oracle_na","rho_C","rho_D","gini_C","gini_D","obar_C","obar_D","rt"
"gini",0.0333333333333333,-0.123626920949866,0.498442367601246,3,FALSE,202608260934,"noC",0.2,0,0.0566803778611004,0.202169690659418,0.191334125676774,0.1583873041611,0.0136179910100959,-0.00612716263751441,0.357999999999999
"oracle",0,-0.778274889551962,NA,NA,NA,202608260934,"noC",0.2,0,0.0566803778611004,0.202169690659418,0.191334125676774,0.1583873041611,0.0136179910100959,-0.00612716263751441,0.357999999999999
"over",0.616666666666667,0.000107710288597376,0.498442367601246,3,FALSE,202608260934,"noC",0.2,0,0.0566803778611004,0.202169690659418,0.191334125676774,0.1583873041611,0.0136179910100959,-0.00612716263751441,0.357999999999999
"raw",0.05,-0.145489312798318,0.498442367601246,3,FALSE,202608260934,"noC",0.2,0,0.0566803778611004,0.202169690659418,0.191334125676774,0.1583873041611,0.0136179910100959,-0.00612716263751441,0.357999999999999
"cw",0,-0.00205452229630388,0.392156862745098,2,FALSE,202608260935,"noC",0.2,0,0.0490157244481157,0.173166992234609,0.196772927626445,0.160412407780697,0.010038587736492,0.0173308660343415,0.391999999999999
"gini",0,-0.105179140611585,0.392156862745098,2,FALSE,202608260935,"noC",0.2,0,0.0490157244481157,0.173166992234609,0.196772927626445,0.160412407780697,0.010038587736492,0.0173308660343415,0.391999999999999
"oracle",0,-0.819087718662329,NA,NA,NA,202608260935,"noC",0.2,0,0.0490157244481157,0.173166992234609,0.196772927626445,0.160412407780697,0.010038587736492,0.0173308660343415,0.391999999999999
"over",0,-0.00245768450987179,0.392156862745098,2,FALSE,202608260935,"noC",0.2,0,0.0490157244481157,0.173166992234609,0.196772927626445,0.160412407780697,0.010038587736492,0.0173308660343415,0.391999999999999
"raw",0,-0.124151267786493,0.392156862745098,2,FALSE,202608260935,"noC",0.2,0,0.0490157244481157,0.173166992234609,0.196772927626445,0.160412407780697,0.010038587736492,0.0173308660343415,0.391999999999999
"cw",0.275,-0.0010254792276275,0.392156862745098,2,FALSE,202608260936,"noC",0.1,0,0.0251984978553838,0.172093916158295,0.197436771005587,0.172625099792053,-0.0119094384307633,0.00523936687780861,0.488
"gini",0,-0.123248030340829,0.392156862745098,2,FALSE,202608260936,"noC",0.1,0,0.0251984978553838,0.172093916158295,0.197436771005587,0.172625099792053,-0.0119094384307633,0.00523936687780861,0.488
"oracle",0,-0.825545609334846,NA,NA,NA,202608260936,"noC",0.1,0,0.0251984978553838,0.172093916158295,0.197436771005587,0.172625099792053,-0.0119094384307633,0.00523936687780861,0.488
"over",0.275,-0.00126226178882988,0.392156862745098,2,FALSE,202608260936,"noC",0.1,0,0.0251984978553838,0.172093916158295,0.197436771005587,0.172625099792053,-0.0119094384307633,0.00523936687780861,0.488
"raw",0,-0.146895418302911,0.392156862745098,2,FALSE,202608260936,"noC",0.1,0,0.0251984978553838,0.172093916158295,0.197436771005587,0.172625099792053,-0.0119094384307633,0.00523936687780861,0.488
"cw",0.733333333333333,-3.69939858462365e-05,0.641025641025641,3,FALSE,202608260937,"noC",0.2,0,0.0506919010360397,0.167089634408736,0.186594268400346,0.171892162778862,0.0199969432154655,-0.0117766893641874,0.375999999999999
"gini",0,-0.0971448645910305,0.55045871559633,3,FALSE,202608260937,"noC",0.2,0,0.0506919010360397,0.167089634408736,0.186594268400346,0.171892162778862,0.0199969432154655,-0.0117766893641874,0.375999999999999
"oracle",0,-0.720765244890763,NA,NA,NA,202608260937,"noC",0.2,0,0.0506919010360397,0.167089634408736,0.186594268400346,0.171892162778862,0.0199969432154655,-0.0117766893641874,0.375999999999999
"over",0.733333333333333,-7.55479849916941e-05,0.641025641025641,3,FALSE,202608260937,"noC",0.2,0,0.0506919010360397,0.167089634408736,0.186594268400346,0.171892162778862,0.0199969432154655,-0.0117766893641874,0.375999999999999
